"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","TOT","PC_CHGPP","Q","1995-Q1",0.012789781,
"AUS","QGDP","TOT","PC_CHGPP","Q","1995-Q2",0.419946207,
"AUS","QGDP","TOT","PC_CHGPP","Q","1995-Q3",2.261019595,
"AUS","QGDP","TOT","PC_CHGPP","Q","1995-Q4",-0.018880506,
"AUS","QGDP","TOT","PC_CHGPP","Q","1996-Q1",1.647735719,
"AUS","QGDP","TOT","PC_CHGPP","Q","1996-Q2",0.636789097,
"AUS","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.799296148,
"AUS","QGDP","TOT","PC_CHGPP","Q","1996-Q4",0.931677019,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.629668951,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q2",2.984776871,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.127777198,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q4",1.454726746,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.650191244,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.931276461,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.903486416,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q4",1.515103209,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.730367661,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.324602215,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.15815717,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.697206368,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q1",0.40178032,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q2",0.919360393,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.277602022,
"AUS","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.370983354,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.035857102,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.81552952,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.173847231,
"AUS","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.217177551,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.753058007,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q2",1.728331961,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.299598984,
"AUS","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.815406451,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q1",0.188630634,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.425839357,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.741555908,
"AUS","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.657213568,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.765730185,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.675671723,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.765851618,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.746479523,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.759550909,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.450761352,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.126512054,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.769484568,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.103497838,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.229233827,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.489792419,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.279085293,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.385619157,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.665560937,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.125923661,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.409536918,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q1",1.004997728,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.329524015,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.678659999,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-0.414019141,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.921681359,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.726661383,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.339846215,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.761563108,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.426881873,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.653816446,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.680559894,
