"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","1995",21649.133893,
"AUS","GNI","TOT","USD_CAP","A","1996",22507.576692,
"AUS","GNI","TOT","USD_CAP","A","1997",23706.226955,
"AUS","GNI","TOT","USD_CAP","A","1998",24906.01315,
"AUS","GNI","TOT","USD_CAP","A","1999",26356.744688,
"AUS","GNI","TOT","USD_CAP","A","2000",27520.183006,
"AUS","GNI","TOT","USD_CAP","A","2001",28745.141332,
"AUS","GNI","TOT","USD_CAP","A","2002",29940.928729,
"AUS","GNI","TOT","USD_CAP","A","2003",31469.685495,
"AUS","GNI","TOT","USD_CAP","A","2004",32740.48602,
"AUS","GNI","TOT","USD_CAP","A","2005",34273.604978,
"AUS","GNI","TOT","USD_CAP","A","2006",36249.21335,
"AUS","GNI","TOT","USD_CAP","A","2007",38067.407815,
"AUS","GNI","TOT","USD_CAP","A","2008",38724.161323,
"AUS","GNI","TOT","USD_CAP","A","2009",40057.511817,
"AUS","GNI","TOT","USD_CAP","A","2010",41099.911569,
"AUS","GNI","TOT","USD_CAP","A","2011",43089.625865,
"AUS","GNI","TOT","USD_CAP","A","2012",42793.330536,
"AUS","GNI","TOT","USD_CAP","A","2013",46516.368344,
"AUS","GNI","TOT","USD_CAP","A","2014",46639.607311,
"AUS","GNI","TOT","USD_CAP","A","2015",46115.624328,
"AUS","GNI","TOT","USD_CAP","A","2016",48775.931511,
"AUS","GNI","TOT","USD_CAP","A","2017",49119.582443,
"AUS","GNI","TOT","USD_CAP","A","2018",51254.090388,
"AUS","GNI","TOT","USD_CAP","A","2019",51598.411675,
"AUS","GNI","TOT","USD_CAP","A","2020",55154.538972,
"AUS","GNI","TOT","USD_CAP","A","2021",59844.152765,
"AUS","GNI","TOT","USD_CAP","A","2022",NA,
"AUT","GNI","TOT","USD_CAP","A","1995",23606.945056,
"AUT","GNI","TOT","USD_CAP","A","1996",24546.79989,
"AUT","GNI","TOT","USD_CAP","A","1997",25308.981064,
"AUT","GNI","TOT","USD_CAP","A","1998",26513.499422,
"AUT","GNI","TOT","USD_CAP","A","1999",27169.077436,
"AUT","GNI","TOT","USD_CAP","A","2000",29125.804189,
"AUT","GNI","TOT","USD_CAP","A","2001",29302.239392,
"AUT","GNI","TOT","USD_CAP","A","2002",30997.101076,
"AUT","GNI","TOT","USD_CAP","A","2003",32077.605148,
"AUT","GNI","TOT","USD_CAP","A","2004",33737.891265,
"AUT","GNI","TOT","USD_CAP","A","2005",34950.389382,
"AUT","GNI","TOT","USD_CAP","A","2006",37750.856178,
"AUT","GNI","TOT","USD_CAP","A","2007",39397.283453,
"AUT","GNI","TOT","USD_CAP","A","2008",41660.642669,
"AUT","GNI","TOT","USD_CAP","A","2009",40909.820959,
"AUT","GNI","TOT","USD_CAP","A","2010",42370.492685,
"AUT","GNI","TOT","USD_CAP","A","2011",44619.143494,
"AUT","GNI","TOT","USD_CAP","A","2012",46524.585901,
"AUT","GNI","TOT","USD_CAP","A","2013",48065.980083,
"AUT","GNI","TOT","USD_CAP","A","2014",48877.877018,
"AUT","GNI","TOT","USD_CAP","A","2015",49450.318805,
"AUT","GNI","TOT","USD_CAP","A","2016",52661.118518,
"AUT","GNI","TOT","USD_CAP","A","2017",53680.256398,
"AUT","GNI","TOT","USD_CAP","A","2018",56398.368814,
"AUT","GNI","TOT","USD_CAP","A","2019",59548.613171,
"AUT","GNI","TOT","USD_CAP","A","2020",57766.534691,
"AUT","GNI","TOT","USD_CAP","A","2021",60261.100147,
"AUT","GNI","TOT","USD_CAP","A","2022",NA,
"BEL","GNI","TOT","USD_CAP","A","1995",22939.974164,
"BEL","GNI","TOT","USD_CAP","A","1996",23272.873343,
"BEL","GNI","TOT","USD_CAP","A","1997",24310.294456,
"BEL","GNI","TOT","USD_CAP","A","1998",24961.349256,
"BEL","GNI","TOT","USD_CAP","A","1999",26034.554415,
"BEL","GNI","TOT","USD_CAP","A","2000",28506.822281,
"BEL","GNI","TOT","USD_CAP","A","2001",29330.986703,
"BEL","GNI","TOT","USD_CAP","A","2002",30804.983756,
"BEL","GNI","TOT","USD_CAP","A","2003",31525.499792,
"BEL","GNI","TOT","USD_CAP","A","2004",32508.908639,
"BEL","GNI","TOT","USD_CAP","A","2005",33591.157187,
"BEL","GNI","TOT","USD_CAP","A","2006",35763.814114,
"BEL","GNI","TOT","USD_CAP","A","2007",37306.633774,
"BEL","GNI","TOT","USD_CAP","A","2008",38804.651431,
"BEL","GNI","TOT","USD_CAP","A","2009",38453.673454,
"BEL","GNI","TOT","USD_CAP","A","2010",40447.969291,
"BEL","GNI","TOT","USD_CAP","A","2011",41008.847549,
"BEL","GNI","TOT","USD_CAP","A","2012",43271.819019,
"BEL","GNI","TOT","USD_CAP","A","2013",44748.589693,
"BEL","GNI","TOT","USD_CAP","A","2014",45872.684937,
"BEL","GNI","TOT","USD_CAP","A","2015",46855.558957,
