"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINT","TOT","PC_PA","A","1995",9.210896,
"AUS","LTINT","TOT","PC_PA","A","1996",8.209207,
"AUS","LTINT","TOT","PC_PA","A","1997",6.954918,
"AUS","LTINT","TOT","PC_PA","A","1998",5.49297,
"AUS","LTINT","TOT","PC_PA","A","1999",6.009312,
"AUS","LTINT","TOT","PC_PA","A","2000",6.314569,
"AUS","LTINT","TOT","PC_PA","A","2001",5.615264,
"AUS","LTINT","TOT","PC_PA","A","2002",5.843958,
"AUS","LTINT","TOT","PC_PA","A","2003",5.366776,
"AUS","LTINT","TOT","PC_PA","A","2004",5.590775,
"AUS","LTINT","TOT","PC_PA","A","2005",5.339973,
"AUS","LTINT","TOT","PC_PA","A","2006",5.587872,
"AUS","LTINT","TOT","PC_PA","A","2007",5.994521,
"AUS","LTINT","TOT","PC_PA","A","2008",5.817944,
"AUS","LTINT","TOT","PC_PA","A","2009",5.039512,
"AUS","LTINT","TOT","PC_PA","A","2010",5.366042,
"AUS","LTINT","TOT","PC_PA","A","2011",4.879583,
"AUS","LTINT","TOT","PC_PA","A","2012",3.379167,
"AUS","LTINT","TOT","PC_PA","A","2013",3.697292,
"AUS","LTINT","TOT","PC_PA","A","2014",3.656667,
"AUS","LTINT","TOT","PC_PA","A","2015",2.710833,
"AUS","LTINT","TOT","PC_PA","A","2016",2.336667,
"AUS","LTINT","TOT","PC_PA","A","2017",2.639167,
"AUS","LTINT","TOT","PC_PA","A","2018",2.684167,
"AUS","LTINT","TOT","PC_PA","A","2019",1.493333,
"AUS","LTINT","TOT","PC_PA","A","2020",0.9208333,
"AUS","LTINT","TOT","PC_PA","A","2021",1.48,
"AUS","LTINT","TOT","PC_PA","A","2022",3.2075,
"AUT","LTINT","TOT","PC_PA","A","1995",7.135075,
"AUT","LTINT","TOT","PC_PA","A","1996",6.321466,
"AUT","LTINT","TOT","PC_PA","A","1997",5.682842,
"AUT","LTINT","TOT","PC_PA","A","1998",4.7135,
"AUT","LTINT","TOT","PC_PA","A","1999",4.6809,
"AUT","LTINT","TOT","PC_PA","A","2000",5.5554,
"AUT","LTINT","TOT","PC_PA","A","2001",5.080167,
"AUT","LTINT","TOT","PC_PA","A","2002",4.9638,
"AUT","LTINT","TOT","PC_PA","A","2003",4.140833,
"AUT","LTINT","TOT","PC_PA","A","2004",4.130892,
"AUT","LTINT","TOT","PC_PA","A","2005",3.393733,
"AUT","LTINT","TOT","PC_PA","A","2006",3.800842,
"AUT","LTINT","TOT","PC_PA","A","2007",4.297083,
"AUT","LTINT","TOT","PC_PA","A","2008",4.358525,
"AUT","LTINT","TOT","PC_PA","A","2009",3.937633,
"AUT","LTINT","TOT","PC_PA","A","2010",3.226383,
"AUT","LTINT","TOT","PC_PA","A","2011",3.319658,
"AUT","LTINT","TOT","PC_PA","A","2012",2.371175,
"AUT","LTINT","TOT","PC_PA","A","2013",2.010758,
"AUT","LTINT","TOT","PC_PA","A","2014",1.487292,
"AUT","LTINT","TOT","PC_PA","A","2015",0.7470416,
"AUT","LTINT","TOT","PC_PA","A","2016",0.3753833,
"AUT","LTINT","TOT","PC_PA","A","2017",0.5832833,
"AUT","LTINT","TOT","PC_PA","A","2018",0.6861517,
"AUT","LTINT","TOT","PC_PA","A","2019",0.06293333,
"AUT","LTINT","TOT","PC_PA","A","2020",-0.22485,
"AUT","LTINT","TOT","PC_PA","A","2021",-0.08538333,
"AUT","LTINT","TOT","PC_PA","A","2022",1.711144,
"BEL","LTINT","TOT","PC_PA","A","1995",7.480834,
"BEL","LTINT","TOT","PC_PA","A","1996",6.4925,
"BEL","LTINT","TOT","PC_PA","A","1997",5.753334,
"BEL","LTINT","TOT","PC_PA","A","1998",4.751667,
"BEL","LTINT","TOT","PC_PA","A","1999",4.749166,
"BEL","LTINT","TOT","PC_PA","A","2000",5.5925,
"BEL","LTINT","TOT","PC_PA","A","2001",5.130833,
