"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINT","TOT","PC_PA","Q","1995-Q1",8.193334,
"AUS","STINT","TOT","PC_PA","Q","1995-Q2",7.713333,
"AUS","STINT","TOT","PC_PA","Q","1995-Q3",7.543334,
"AUS","STINT","TOT","PC_PA","Q","1995-Q4",7.453333,
"AUS","STINT","TOT","PC_PA","Q","1996-Q1",7.486667,
"AUS","STINT","TOT","PC_PA","Q","1996-Q2",7.563334,
"AUS","STINT","TOT","PC_PA","Q","1996-Q3",7.13,
"AUS","STINT","TOT","PC_PA","Q","1996-Q4",6.426667,
"AUS","STINT","TOT","PC_PA","Q","1997-Q1",5.926667,
"AUS","STINT","TOT","PC_PA","Q","1997-Q2",5.753334,
"AUS","STINT","TOT","PC_PA","Q","1997-Q3",4.953333,
"AUS","STINT","TOT","PC_PA","Q","1997-Q4",4.95,
"AUS","STINT","TOT","PC_PA","Q","1998-Q1",4.973333,
"AUS","STINT","TOT","PC_PA","Q","1998-Q2",5.066667,
"AUS","STINT","TOT","PC_PA","Q","1998-Q3",5.13,
"AUS","STINT","TOT","PC_PA","Q","1998-Q4",4.836667,
"AUS","STINT","TOT","PC_PA","Q","1999-Q1",4.79,
"AUS","STINT","TOT","PC_PA","Q","1999-Q2",4.85,
"AUS","STINT","TOT","PC_PA","Q","1999-Q3",4.94,
"AUS","STINT","TOT","PC_PA","Q","1999-Q4",5.466667,
"AUS","STINT","TOT","PC_PA","Q","2000-Q1",5.783333,
"AUS","STINT","TOT","PC_PA","Q","2000-Q2",6.193333,
"AUS","STINT","TOT","PC_PA","Q","2000-Q3",6.42,
"AUS","STINT","TOT","PC_PA","Q","2000-Q4",6.313334,
"AUS","STINT","TOT","PC_PA","Q","2001-Q1",5.546667,
"AUS","STINT","TOT","PC_PA","Q","2001-Q2",4.906667,
"AUS","STINT","TOT","PC_PA","Q","2001-Q3",4.846667,
"AUS","STINT","TOT","PC_PA","Q","2001-Q4",4.296667,
"AUS","STINT","TOT","PC_PA","Q","2002-Q1",4.343333,
"AUS","STINT","TOT","PC_PA","Q","2002-Q2",4.833333,
"AUS","STINT","TOT","PC_PA","Q","2002-Q3",4.953333,
"AUS","STINT","TOT","PC_PA","Q","2002-Q4",4.856667,
"AUS","STINT","TOT","PC_PA","Q","2003-Q1",4.77,
"AUS","STINT","TOT","PC_PA","Q","2003-Q2",4.746666,
"AUS","STINT","TOT","PC_PA","Q","2003-Q3",4.816667,
"AUS","STINT","TOT","PC_PA","Q","2003-Q4",5.25,
"AUS","STINT","TOT","PC_PA","Q","2004-Q1",5.543334,
"AUS","STINT","TOT","PC_PA","Q","2004-Q2",5.513333,
"AUS","STINT","TOT","PC_PA","Q","2004-Q3",5.44,
"AUS","STINT","TOT","PC_PA","Q","2004-Q4",5.416667,
"AUS","STINT","TOT","PC_PA","Q","2005-Q1",5.62,
"AUS","STINT","TOT","PC_PA","Q","2005-Q2",5.696667,
"AUS","STINT","TOT","PC_PA","Q","2005-Q3",5.63,
"AUS","STINT","TOT","PC_PA","Q","2005-Q4",5.63,
"AUS","STINT","TOT","PC_PA","Q","2006-Q1",5.616667,
"AUS","STINT","TOT","PC_PA","Q","2006-Q2",5.84,
"AUS","STINT","TOT","PC_PA","Q","2006-Q3",6.15,
"AUS","STINT","TOT","PC_PA","Q","2006-Q4",6.346667,
"AUS","STINT","TOT","PC_PA","Q","2007-Q1",6.41,
"AUS","STINT","TOT","PC_PA","Q","2007-Q2",6.423333,
"AUS","STINT","TOT","PC_PA","Q","2007-Q3",6.72,
"AUS","STINT","TOT","PC_PA","Q","2007-Q4",7.116667,
