"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINT","TOT","PC_PA","A","1995",7.725833,
"AUS","STINT","TOT","PC_PA","A","1996",7.151667,
"AUS","STINT","TOT","PC_PA","A","1997",5.395833,
"AUS","STINT","TOT","PC_PA","A","1998",5.001667,
"AUS","STINT","TOT","PC_PA","A","1999",5.011667,
"AUS","STINT","TOT","PC_PA","A","2000",6.1775,
"AUS","STINT","TOT","PC_PA","A","2001",4.899167,
"AUS","STINT","TOT","PC_PA","A","2002",4.746666,
"AUS","STINT","TOT","PC_PA","A","2003",4.895833,
"AUS","STINT","TOT","PC_PA","A","2004",5.478333,
"AUS","STINT","TOT","PC_PA","A","2005",5.644166,
"AUS","STINT","TOT","PC_PA","A","2006",5.988333,
"AUS","STINT","TOT","PC_PA","A","2007",6.6675,
"AUS","STINT","TOT","PC_PA","A","2008",6.973333,
"AUS","STINT","TOT","PC_PA","A","2009",3.434167,
"AUS","STINT","TOT","PC_PA","A","2010",4.683333,
"AUS","STINT","TOT","PC_PA","A","2011",4.848333,
"AUS","STINT","TOT","PC_PA","A","2012",3.728333,
"AUS","STINT","TOT","PC_PA","A","2013",2.7775,
"AUS","STINT","TOT","PC_PA","A","2014",2.6775,
"AUS","STINT","TOT","PC_PA","A","2015",2.255833,
"AUS","STINT","TOT","PC_PA","A","2016",1.986667,
"AUS","STINT","TOT","PC_PA","A","2017",1.74,
"AUS","STINT","TOT","PC_PA","A","2018",1.948333,
"AUS","STINT","TOT","PC_PA","A","2019",1.344167,
"AUS","STINT","TOT","PC_PA","A","2020",0.2566667,
"AUS","STINT","TOT","PC_PA","A","2021",0.02833333,
"AUS","STINT","TOT","PC_PA","A","2022",1.636667,
"AUT","STINT","TOT","PC_PA","A","1995",4.568333,
"AUT","STINT","TOT","PC_PA","A","1996",3.373333,
"AUT","STINT","TOT","PC_PA","A","1997",3.4975,
"AUT","STINT","TOT","PC_PA","A","1998",3.600833,
"AUT","STINT","TOT","PC_PA","A","1999",2.9635,
"AUT","STINT","TOT","PC_PA","A","2000",4.391767,
"AUT","STINT","TOT","PC_PA","A","2001",4.261783,
"AUT","STINT","TOT","PC_PA","A","2002",3.318592,
"AUT","STINT","TOT","PC_PA","A","2003",2.333467,
"AUT","STINT","TOT","PC_PA","A","2004",2.106325,
"AUT","STINT","TOT","PC_PA","A","2005",2.184675,
"AUT","STINT","TOT","PC_PA","A","2006",3.079225,
"AUT","STINT","TOT","PC_PA","A","2007",4.277608,
"AUT","STINT","TOT","PC_PA","A","2008",4.634233,
"AUT","STINT","TOT","PC_PA","A","2009",1.228358,
"AUT","STINT","TOT","PC_PA","A","2010",0.81095,
"AUT","STINT","TOT","PC_PA","A","2011",1.3906,
"AUT","STINT","TOT","PC_PA","A","2012",0.5731834,
"AUT","STINT","TOT","PC_PA","A","2013",0.2206667,
"AUT","STINT","TOT","PC_PA","A","2014",0.2099333,
"AUT","STINT","TOT","PC_PA","A","2015",-0.01936667,
"AUT","STINT","TOT","PC_PA","A","2016",-0.2636917,
"AUT","STINT","TOT","PC_PA","A","2017",-0.32905,
"AUT","STINT","TOT","PC_PA","A","2018",-0.3220917,
"AUT","STINT","TOT","PC_PA","A","2019",-0.3563333,
"AUT","STINT","TOT","PC_PA","A","2020",-0.42515,
"AUT","STINT","TOT","PC_PA","A","2021",-0.5487667,
"AUT","STINT","TOT","PC_PA","A","2022",0.3418,
"BEL","STINT","TOT","PC_PA","A","1995",4.783333,
"BEL","STINT","TOT","PC_PA","A","1996",3.216667,
"BEL","STINT","TOT","PC_PA","A","1997",3.436667,
"BEL","STINT","TOT","PC_PA","A","1998",3.558333,
"BEL","STINT","TOT","PC_PA","A","1999",2.9635,
"BEL","STINT","TOT","PC_PA","A","2000",4.391767,
"BEL","STINT","TOT","PC_PA","A","2001",4.261783,
"BEL","STINT","TOT","PC_PA","A","2002",3.318592,
"BEL","STINT","TOT","PC_PA","A","2003",2.333467,
"BEL","STINT","TOT","PC_PA","A","2004",2.106325,
"BEL","STINT","TOT","PC_PA","A","2005",2.184675,
"BEL","STINT","TOT","PC_PA","A","2006",3.079225,
"BEL","STINT","TOT","PC_PA","A","2007",4.277608,
"BEL","STINT","TOT","PC_PA","A","2008",4.634233,
"BEL","STINT","TOT","PC_PA","A","2009",1.228358,
"BEL","STINT","TOT","PC_PA","A","2010",0.81095,
"BEL","STINT","TOT","PC_PA","A","2011",1.3906,
"BEL","STINT","TOT","PC_PA","A","2012",0.5731834,
"BEL","STINT","TOT","PC_PA","A","2013",0.2206667,
"BEL","STINT","TOT","PC_PA","A","2014",0.2099333,
"BEL","STINT","TOT","PC_PA","A","2015",-0.01936667,
"BEL","STINT","TOT","PC_PA","A","2016",-0.2636917,
"BEL","STINT","TOT","PC_PA","A","2017",-0.32905,
"BEL","STINT","TOT","PC_PA","A","2018",-0.3220917,
"BEL","STINT","TOT","PC_PA","A","2019",-0.3563333,
"BEL","STINT","TOT","PC_PA","A","2020",-0.42515,
"BEL","STINT","TOT","PC_PA","A","2021",-0.5487667,
"BEL","STINT","TOT","PC_PA","A","2022",0.3418,
"CAN","STINT","TOT","PC_PA","A","1995",7.130799,
"CAN","STINT","TOT","PC_PA","A","1996",4.449064,
"CAN","STINT","TOT","PC_PA","A","1997",3.557645,
"CAN","STINT","TOT","PC_PA","A","1998",5.068404,
"CAN","STINT","TOT","PC_PA","A","1999",4.915108,
"CAN","STINT","TOT","PC_PA","A","2000",5.698482,
"CAN","STINT","TOT","PC_PA","A","2001",4.003615,
"CAN","STINT","TOT","PC_PA","A","2002",2.623688,
"CAN","STINT","TOT","PC_PA","A","2003",2.964421,
