"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","1995-Q1",8.764897,
"AUS","HUR","TOT","PC_LF","Q","1995-Q2",8.364933,
"AUS","HUR","TOT","PC_LF","Q","1995-Q3",8.368115,
"AUS","HUR","TOT","PC_LF","Q","1995-Q4",8.389695,
"AUS","HUR","TOT","PC_LF","Q","1996-Q1",8.399638,
"AUS","HUR","TOT","PC_LF","Q","1996-Q2",8.415469,
"AUS","HUR","TOT","PC_LF","Q","1996-Q3",8.620527,
"AUS","HUR","TOT","PC_LF","Q","1996-Q4",8.619471,
"AUS","HUR","TOT","PC_LF","Q","1997-Q1",8.61999,
"AUS","HUR","TOT","PC_LF","Q","1997-Q2",8.481837,
"AUS","HUR","TOT","PC_LF","Q","1997-Q3",8.373017,
"AUS","HUR","TOT","PC_LF","Q","1997-Q4",7.97607,
"AUS","HUR","TOT","PC_LF","Q","1998-Q1",7.839782,
"AUS","HUR","TOT","PC_LF","Q","1998-Q2",7.73314,
"AUS","HUR","TOT","PC_LF","Q","1998-Q3",7.787022,
"AUS","HUR","TOT","PC_LF","Q","1998-Q4",7.373964,
"AUS","HUR","TOT","PC_LF","Q","1999-Q1",7.08159,
"AUS","HUR","TOT","PC_LF","Q","1999-Q2",6.885472,
"AUS","HUR","TOT","PC_LF","Q","1999-Q3",6.873481,
"AUS","HUR","TOT","PC_LF","Q","1999-Q4",6.633036,
"AUS","HUR","TOT","PC_LF","Q","2000-Q1",6.649906,
"AUS","HUR","TOT","PC_LF","Q","2000-Q2",6.301486,
"AUS","HUR","TOT","PC_LF","Q","2000-Q3",5.988972,
"AUS","HUR","TOT","PC_LF","Q","2000-Q4",6.171242,
"AUS","HUR","TOT","PC_LF","Q","2001-Q1",6.365891,
"AUS","HUR","TOT","PC_LF","Q","2001-Q2",6.868896,
"AUS","HUR","TOT","PC_LF","Q","2001-Q3",6.866882,
"AUS","HUR","TOT","PC_LF","Q","2001-Q4",6.97877,
"AUS","HUR","TOT","PC_LF","Q","2002-Q1",6.626418,
"AUS","HUR","TOT","PC_LF","Q","2002-Q2",6.404091,
"AUS","HUR","TOT","PC_LF","Q","2002-Q3",6.279747,
"AUS","HUR","TOT","PC_LF","Q","2002-Q4",6.157049,
"AUS","HUR","TOT","PC_LF","Q","2003-Q1",6.055393,
"AUS","HUR","TOT","PC_LF","Q","2003-Q2",6.050591,
"AUS","HUR","TOT","PC_LF","Q","2003-Q3",5.906507,
"AUS","HUR","TOT","PC_LF","Q","2003-Q4",5.708253,
"AUS","HUR","TOT","PC_LF","Q","2004-Q1",5.536703,
"AUS","HUR","TOT","PC_LF","Q","2004-Q2",5.435231,
"AUS","HUR","TOT","PC_LF","Q","2004-Q3",5.478963,
"AUS","HUR","TOT","PC_LF","Q","2004-Q4",5.117148,
"AUS","HUR","TOT","PC_LF","Q","2005-Q1",5.106397,
"AUS","HUR","TOT","PC_LF","Q","2005-Q2",5.056629,
"AUS","HUR","TOT","PC_LF","Q","2005-Q3",4.95813,
"AUS","HUR","TOT","PC_LF","Q","2005-Q4",5.007412,
"AUS","HUR","TOT","PC_LF","Q","2006-Q1",5.044,
"AUS","HUR","TOT","PC_LF","Q","2006-Q2",4.85678,
"AUS","HUR","TOT","PC_LF","Q","2006-Q3",4.677961,
"AUS","HUR","TOT","PC_LF","Q","2006-Q4",4.515179,
"AUS","HUR","TOT","PC_LF","Q","2007-Q1",4.549131,
"AUS","HUR","TOT","PC_LF","Q","2007-Q2",4.324328,
"AUS","HUR","TOT","PC_LF","Q","2007-Q3",4.254938,
"AUS","HUR","TOT","PC_LF","Q","2007-Q4",4.353645,
"AUS","HUR","TOT","PC_LF","Q","2008-Q1",4.085676,
"AUS","HUR","TOT","PC_LF","Q","2008-Q2",4.257824,
"AUS","HUR","TOT","PC_LF","Q","2008-Q3",4.184669,
"AUS","HUR","TOT","PC_LF","Q","2008-Q4",4.440942,
"AUS","HUR","TOT","PC_LF","Q","2009-Q1",5.307008,
"AUS","HUR","TOT","PC_LF","Q","2009-Q2",5.727869,
"AUS","HUR","TOT","PC_LF","Q","2009-Q3",5.68257,
"AUS","HUR","TOT","PC_LF","Q","2009-Q4",5.557804,
"AUS","HUR","TOT","PC_LF","Q","2010-Q1",5.328887,
"AUS","HUR","TOT","PC_LF","Q","2010-Q2",5.28961,
"AUS","HUR","TOT","PC_LF","Q","2010-Q3",5.124386,
"AUS","HUR","TOT","PC_LF","Q","2010-Q4",5.090518,
"AUS","HUR","TOT","PC_LF","Q","2011-Q1",4.967339,
"AUS","HUR","TOT","PC_LF","Q","2011-Q2",4.961844,
"AUS","HUR","TOT","PC_LF","Q","2011-Q3",5.193976,
"AUS","HUR","TOT","PC_LF","Q","2011-Q4",5.205949,
"AUS","HUR","TOT","PC_LF","Q","2012-Q1",5.141247,
"AUS","HUR","TOT","PC_LF","Q","2012-Q2",5.11741,
"AUS","HUR","TOT","PC_LF","Q","2012-Q3",5.274372,
"AUS","HUR","TOT","PC_LF","Q","2012-Q4",5.368159,
"AUS","HUR","TOT","PC_LF","Q","2013-Q1",5.475322,
"AUS","HUR","TOT","PC_LF","Q","2013-Q2",5.628748,
"AUS","HUR","TOT","PC_LF","Q","2013-Q3",5.72638,
"AUS","HUR","TOT","PC_LF","Q","2013-Q4",5.843058,
"AUS","HUR","TOT","PC_LF","Q","2014-Q1",5.89976,
"AUS","HUR","TOT","PC_LF","Q","2014-Q2",5.924464,
"AUS","HUR","TOT","PC_LF","Q","2014-Q3",6.170489,
"AUS","HUR","TOT","PC_LF","Q","2014-Q4",6.258227,
"AUS","HUR","TOT","PC_LF","Q","2015-Q1",6.196576,
"AUS","HUR","TOT","PC_LF","Q","2015-Q2",6.013023,
"AUS","HUR","TOT","PC_LF","Q","2015-Q3",6.18044,
"AUS","HUR","TOT","PC_LF","Q","2015-Q4",5.841314,
"AUS","HUR","TOT","PC_LF","Q","2016-Q1",5.789156,
"AUS","HUR","TOT","PC_LF","Q","2016-Q2",5.682669,
"AUS","HUR","TOT","PC_LF","Q","2016-Q3",5.657106,
"AUS","HUR","TOT","PC_LF","Q","2016-Q4",5.729656,
"AUS","HUR","TOT","PC_LF","Q","2017-Q1",5.795325,
"AUS","HUR","TOT","PC_LF","Q","2017-Q2",5.582457,
"AUS","HUR","TOT","PC_LF","Q","2017-Q3",5.528964,
"AUS","HUR","TOT","PC_LF","Q","2017-Q4",5.471878,
"AUS","HUR","TOT","PC_LF","Q","2018-Q1",5.529449,
"AUS","HUR","TOT","PC_LF","Q","2018-Q2",5.418248,
"AUS","HUR","TOT","PC_LF","Q","2018-Q3",5.208403,
"AUS","HUR","TOT","PC_LF","Q","2018-Q4",5.051706,
"AUS","HUR","TOT","PC_LF","Q","2019-Q1",5.034005,
"AUS","HUR","TOT","PC_LF","Q","2019-Q2",5.225847,
"AUS","HUR","TOT","PC_LF","Q","2019-Q3",5.261063,
"AUS","HUR","TOT","PC_LF","Q","2019-Q4",5.180505,
"AUS","HUR","TOT","PC_LF","Q","2020-Q1",5.182653,
"AUS","HUR","TOT","PC_LF","Q","2020-Q2",6.917977,
"AUS","HUR","TOT","PC_LF","Q","2020-Q3",7.104189,
"AUS","HUR","TOT","PC_LF","Q","2020-Q4",6.798452,
"AUS","HUR","TOT","PC_LF","Q","2021-Q1",5.910292,
"AUS","HUR","TOT","PC_LF","Q","2021-Q2",5.146617,
"AUS","HUR","TOT","PC_LF","Q","2021-Q3",4.650372,
"AUS","HUR","TOT","PC_LF","Q","2021-Q4",4.675728,
"AUS","HUR","TOT","PC_LF","Q","2022-Q1",4.026927,
"AUS","HUR","TOT","PC_LF","Q","2022-Q2",3.783421,
"AUS","HUR","TOT","PC_LF","Q","2022-Q3",3.513952,
"AUS","HUR","TOT","PC_LF","Q","2022-Q4",3.472292,
"AUT","HUR","TOT","PC_LF","Q","1995-Q1",3.933333,
"AUT","HUR","TOT","PC_LF","Q","1995-Q2",4.1,
"AUT","HUR","TOT","PC_LF","Q","1995-Q3",4.366667,
"AUT","HUR","TOT","PC_LF","Q","1995-Q4",4.566667,
"AUT","HUR","TOT","PC_LF","Q","1996-Q1",4.766667,
"AUT","HUR","TOT","PC_LF","Q","1996-Q2",4.8,
